Country,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,208,417,0,730,104,0,730,0,0,0,104,0,104,104,0,104,521,417,625,521,0,0,0,0,104,0,834,417,208,312,208,521,417,0,104,625,104,1043,625,625,208,104,0,834,521,208,1043,104,417,417,417,104,417,521,1147,730,625,208,625,625,208,312,208,1147,521,834,938,938,521,208,834,417,938,1981,417,1251,417,208,1043,834,625,730,625,938,521,3337,1043,1251,938,4693,834,0,625,1251,4693,5110,1460,2503,1043,1773,2190,1773,1043,4797,2190,312,1564,1877,1877,1043,2294,3546,938,3650,5528,1877,521,5215,3859,1877,5215,5006,4693,5528,2607,3233,938,730
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,306,204,102,0,306,0,0,102,204,204,102,409,102,511,613,204,409,920,1125,818,1125,818,1432,1022,1329,1227,818,1432,0,3375,1022,1432,1227,1432,1125,1227,1022,818,1125,920,1227,1125,1227,511,1125,1227,1022,1022,920,1329,818,818,409,511,613,613,613,306,1125,511,306,306,306,613,409,511,818,613,409,818,716,204,102,511,204,511,306,306,0,306,204,102,204,204,409,306,102,204,204,102,0,204,0,204,102,306,102,102,0,306,409,0,102,102,102,0,102,0,0,0,204,204,204,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,102
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,0,5,1,2,4,14,10,0,19,13,14,19,16,31,15,29,31,19,28,19,21,26,24,28,32,36,21,30,42,34,44,39,51,52,55,51,73,53,138,82,68,82,67,91,80,79,77,94,72,72,100,107,94,108,104,109,113,110,109,103,130,138,192,130,201,124,141,160,210,194,206,233,164,220,175,294,303,252,260,204,297,1554,186,248,306,286,221,231,404,250,297,414,282,365,185,360,279,330,277,506,305,301,405,314,356,380,436,422,336,431,539,499,510,357,500,518,382,943,516,620,510,562,314,553,564,836,481,539,683,440
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,3,52,22,26,22,37,3,22,11,74,33,56,44,29,52,78,48,41,37,26,41,44,70,149,97,78,171,97,224,37,108,82,56,175,29,97,70,44,145,127,85,82,29,41,29,29,115,52,70,29,85,130,48,59,52,67,59,78,56,123,48,220,160,112,78,134,179,93,78,70,100,205,85,89,198,149,104,82,130,85,183,115,186,119,149,134,153,179,160,160,239,123,168,235,127,209,134,130,130,141,175,235,138,127,190,265,216,198,183,198,306,261,254,186,216,194,246,265,186,201,325,283,313,220,474,358,302,519,437,332,183,250,212,235,276,310,272,231,160,246,321
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,97,48,36,85,97,110,134,146,134,183,183,207,256,599,525,660,770,916,1039,1185,1381,1577,1650,1797,1821,1821,1503,1577,1552,1491,1748,1919,1760,1699,1503,1430,1723,1687,1515,1638,1931,1845,1662,1625,1601,1308,1491,1528,1430,1356,1198,1149,1124,1088,892,1063,1112,1075,1149,1100,1136,929,733,1173,867,977,867,770,794,574,904,770,953,831,672,586,623,550,586,611,867,586,427,623,843,757,782,806,623,721,709,415,696,684,770,611,696,770,990,782,855,721,770,916,1002,733,904,990,953,916,867,1308,1381,1405,1466,1063,1466,1405,1418,1454,1479,1625,1638,1332,1528,1760,1980,1797,1723,1809,1882,1809,1992,1955,2444,1870,2701,1735,2298,2371,2481,2188,2432,2420,2237,2298,2555,2652,2799,2677,2701,2628,2383,2640,2591,2872,2396,2762,2408,2640,2542,2628,2591
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,0,26,0,52,26,0,26,0,26,0,0,52,0,26,26,104,0,156,0,104,234,104,52,0,0,104,104,208,0,0,0,130,78,26,104,0,26,52,104,52,0,26,26,26,26,0,0,26,0,0,78,0,26,26,52,52,26,26,26,52,26,104,0,0,52,78,52,26,52,78,0,52,104,52,104,104,78,156,182,130,208,78,156,260,0,156,260,260,260,520,546,754,858,728,624,572,884,0,806,1014,2888,1170,0,3148,0,2159,1795,2289,2263,1743,2185,2055,2784,5802,2497,2159,2705,2784,2862,2653,0,5489,2445,0,5516,2679,0,2029,4943,2601,2471,2263,2341,0,4397,0,4631,2107,0,4475,2341,1873,0,4527,0,2003,1769,3590,0,3304,1717,2159
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,205,0,0,0,0,205,0,0,205,410,205,410,2054,616,2876,2054,1643,3492,2876,2670,4519,3492,4314,3287,7396,5136,5752,4930,6779,2876,6369,8423,7807,8628,9039,8423,8012,15819,8834,8012,5136,45199,10067,4930,3081,11710,6369,8628,6779,4314,3492,3287,4109,7396,5752,5341,3492,2465,1849,4314,1849,1849,2465,3081,2054,821,2876,2054,2465,1849,2465,821,0,1438,3287,1643,1232,1232,205,0,1643,205,1027,1232,1643,205,821,1643,821,1643,410,0,205,0,616,205,821,0,205,0,410,616,1232,205,616,821,205,0,205,410,0,410,205,0,0,205,0,1027,205,410,0,0,0,410,205,616,205,0,0,0,205,1849,0,205,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,450,337,225,225,0,337,225,450,1350,450,562,450,562,1013,1350,788,1576,337,788,788,788,1013,1576,900,1125,1463,225,900,675,450,225,562,112,337,675,450,788,450,450,337,450,337,112,112,675,0,337,675,450,450,225,225,112,450,112,562,112,112,0,0,0,112,112,0,0,337,0,0,112,225,337,112,0,112,562,112,0,112,112,0,0,0,225,0,112,0,112,0,112,225,0,112,0,562,112,450,112,112,0,450,225,0,450,225,675,562,337,450,112,788,675,450,788,562,788,562,1576,1013,788,900,337,1463,225,1801,1013,788,1125,788,1350,337,2138,1125,1463
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,82,0,82,33,49,66,132,215,165,446,463,678,810,595,2201,1605,2780,3243,3128,4137,2896,6090,5776,5709,7861,7066,10377,13124,10774,9946,12296,11303,11783,15209,14713,12512,13438,14100,11783,12578,12677,11270,8688,10526,11171,7795,10095,9433,10244,7133,9367,9963,9566,8688,9516,7977,7166,7513,8837,7232,7679,6951,6868,4303,5511,6322,5345,4716,4452,7844,2879,3227,3905,6107,4534,4021,3210,2730,2962,2846,3227,4336,4005,2532,2399,1638,2681,2664,2581,2151,1969,827,1522,1290,1936,1158,1439,1837,1241,993,910,1175,1456,1406,1191,877,1075,1307,1175,877,926,1290,728,430,562,711,1092,777,810,397,380,297,0,562,496,132,364,99,380,347,496,248,347,115,132,496,248,198,198,115,148,215,281,215,331,182,231,49,215,248,148,165,82,82,82,82,182,99,49,148,82,132,198
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,0,7,0,7,15,7,23,0,7,0,0,0,0,0,7,7,0,7,31,39,15,0,7,47,7,15,15,15,7,39,7,0,15,23,31,23,7,23,63,7,31,47,47,79,23,7,39,47,86,79,71,39,126,150,63,181,110,110,189,158,71,276,47,158,165,173,150,173,150,181,316,150,158,86,0,181,126,142,55,205,165,142,39,221,150,63,94,39,86,118,118,86,0,142,134,71,102,55,39,23,7,23,31,39,31,0,15,23,7,15,0,23,0,15,15,39,7,15,0,134,7,7,0,102,0,15,7,0,0,0,0,39,0,0,0,7,7,0,23,0,7,0,7,0,0,7,0,7,0,15,7,7,15,126,0,15,7,23,15,23,23,23,0,39,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,54,54,0,0,164,0,0,0,54,0,109,54,0,109,109,54,109,0,0,0,109,0,0,54,273,0,0,0,0,0,0,0,0,109,0,109,54,0,54,0,0,54,0,0,0,109,0,0,54,0,0,0,0,0,0,0,0,109,0,0,54,109,54,0,164,218,218,0,54,164,109,164,0,383,109,0,383,0,601,656,273,437,273,109,383,383,109,218,547,1258,547,0,273,0,0,0,0,0,4159,0,0,0,0,0,6074,0,0,0,0,0,0,0,11492,0,0,0,0,0,0,0,11383,0,0,0,0,0,14502
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,38,0,19,0,38,0,0,19,0,0,0,19,19,19,19,0,38,19,0,0,0,0,0,0,0,0,0,0,58,77,19,0,38,0,38,58,0,19,38,19,58,77,38,58,97,0,0,0,0,0,0,0,19,19,0,58,58,77,0,38,0,136,58,77,19,0,77,38,58,19,58,77,0,77,58,38,0,233,38,38,0,77,58,0,77,97,77,0,58,0,97,0,97,0,116,77,58,38,77,155,58,0,252,97,136,155,0,155,0,175,77,428,0,58,214,77,38,97,505,0,583,447,0,350,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,241,241,0,0,483,0,483,483,483,483,241,241,966,241,483,241,241,483,966,725,1208,483,0,483,483,725,483,2175,1691,2417,1691,1450,1933,2658,1208,1450,725,725,1208,2175,2417,1933,2175,1691,725,2417,2175,2658,1691,1933,1450,966,1450,1933,2417,2417,1208,966,483,966,1450,966,1691,483,1208,725,483,1208,1450,1691,966,966,725,483,483,725,966,483,966,966,241,241,1208,725,1208,966,483,725,241,725,966,725,725,725,725,483,725,241,0,966,1208,966,966,966,966,1208,966,483,241,483,1450,966,966,966
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,474,0,0,0,158,0,0,0,0,0,0,0,0,0,316,0,0,158,0,0,0,0,0,0,0,0,316,0,0,158,158,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,158,474,0,316,0,0,158,158,316,0,0,158,0,0,158,316,158,158,474,316,474,158,158,158,0,474,158,474,1107,790,632,1581,316,1581,632,1107,1265,1423,948,474,1107,2372,316,1739,1107,948,0,114980,21667,6642,5061,9173,6642,6009,4428,3795,4428,2846,2688,1265,3953,1897,1739,1107
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,479,0,479,0,0,479,959,479,959,959,0,2878,479,0,3838,0,1919,959,0,959,0,4797,479,0,479,1439,959,1439,479,479,0,479,959,959,1919,2878,959,1919,1919,479,959,479,479,959,479,479,479,0,0,479,1439,0,959,479,1439,1439,959,1919,479,479,479,0,0,1439,1439,959,2398,2398,959,3358,0,2398,959,959,959,0,2398,479,3358,2398,959,0,8155,2398,3838,4317,2878,2878,5277,2398,4317,1919,3838,2878,1439,4317,4317,5757,1919,0,9115,0,3358,6236,2398,2398,3838,0,4317,0,3838,4317,0,1919,5757,0,2398,3838,3838,4797,0,4797,4317,4317,0,2878,2398,0,4317,2878,3358,1919,1439,2398
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,15,7,7,15,31,31,31,63,7,63,103,79,150,118,245,126,261,158,309,316,182,285,586,340,293,475,824,285,206,1149,895,784,1204,665,364,657,1069,1291,1006,895,705,736,927,1870,1561,2036,1576,1529,887,855,2797,2329,2036,2298,2203,1046,1228,2646,3359,3328,3795,1505,1703,1893,3970,3669,3542,2939,2884,1196,1878,3724,8653,6466,4952,2702,1489,2805,4723,5610,4651,3993,3359,2131,3478,5784,6101,5285,5127,3066,8273,6014,6284,7504,5832,5697,4770,2115,3748,5135,5872,5380,5182,4144,2163,3803,7092,6196,5784,5269,4271,2187,3843,6624,4588,5293,5832,4580,2345,2385,7250,6260,5689,5840,5776,2424,2710,6767,3843,5063,5452,6212,2171,2107
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,369,0,0,0,739,0,369,369,1478,1478,369,1478,1847,1478,369,0,369,369,1847,1478,4804,0,1108,369,4804,1108,0,739,1847,2586,2586,2586,739,1478,3325,2217,739,0,1478,1478,1478,3325,0,1847,4064,3695,1478,2586,1108,3325,2956,1847,3695,739,739,2586,1847,1847,1478,7021,2217,0,5543,2217,1108,1108,4064,739,1108,1847,739,5173,0,5543,4804,4434,1478,3695,0,7760,739,3325,3695,4064,4064,5543,369,3695,5543,739,3695,0,4804,5543,2217,1847,1478,2217,3325,5912,2217,2217,3695,1847,4064,4804,2956,2217,369,3695,2217,1478,1478,3325,1847,1478,4804,4064,4064,739,1847,2586,5543,1108,2217,1847,5912,1847,2217,4064,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0,27,0,27,0,27,27,0,471,83,27,166,83,111,194,83,527,55,333,222,138,249,138,83,194,166,27,27,138,111,27,138,27,138,55,111,111,27,27,55,111,27,83,27,55,83,83,55,27,55,27,55,0,0,0,27,27,55,0,0,27,27,55,27,0,27,55,55,0,0,0,27,27,27,0,27,27,27,0,0,0,0,55,27,27,0,0,0,0,0,27,0,0,0,27,0,0,55,27,27,55,111,27,83,0,55,0,111,27,111,27,55,27,27,83,166,83,55,55,83,27,138,111,83,111,138,194,194,166,222,83,305,194,333,194,388,416,527
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,116,0,116,0,0,290,580,232,1102,0,1915,1799,1682,2553,1915,3714,4584,4526,6499,5455,7660,5339,10155,7776,9749,8646,9343,6963,5571,13579,8530,8588,6673,7660,5455,4990,7080,10968,10503,8356,8240,4816,3888,9575,8008,7138,6499,6963,3830,2495,928,10271,4874,5687,5455,4004,1508,4990,2089,4874,5164,2611,1044,928,3133,3017,1624,3075,1566,580,812,1218,1915,1566,754,1334,638,464,1508,870,1857,1624,1160,290,348,290,580,754,870,348,0,290,870,638,116,522,232,116,348,290,232,232,174,464,58,0,290,116,174,174,116,0,116,348,0,0,0,0,0,812,290,174,116,0,58,0,0,0,0,58,58,0,0,0,0,174,0,0,0,0,116,232,0,116,0,58,58,0,58
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,10,5,0,0,5,0,5,0,15,0,0,5,5,5,20,10,10,5,15,15,15,5,15,25,0,20,35,35,51,86,10,30,25,25,20,51,0,132,35,40,30,15,20,25,30,45,5,40,56,51,0,25,35,81,25,25,10,61,71,61,76,5,40,51,45,61,35,20,91,20,61,40,66,20,158,71,30,61,97,61,35,40,45,35,25,20,35,40,86,66,66,61,30,56,45,76,76,25,102,76,81,20,51,30,45,15,30,56,61,20,40,102,61,56,10,10,40,25,25,5,20,25,40
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,207,0,0,0,0,207,0,0,207,0,0,0,207,207,207,0,207,0,0,207,207,0,0,0,0,207,0,207,0,0,0,207,0,414,414,0,0,0,0,0,414,207,414,621,414,207,414,414,621,207,207,0,207,414,0,414,1035,621,1863,1656,0,1035,0,621,1242,414,207,1035,1449,621,1035,828,1242,414,621,1242,621,621,1242,621,414,414,1863,1242,828,1242,1449,1863,621,1035,2070,2070,1035,1242,1863,621,1656,828,1863,414,2898,1656,1863,1656,2070,2070,1656,2277,2484,1242,828,2484,2691,1863,1863,2070,1863,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,14,4,0,4,4,14,0,28,32,4,23,18,23,23,32,14,14,23,14,51,51,23,14,51,98,32,37,75,80,75,80,89,42,89,61,56,94,160,108,226,51,108,103,113,188,179,164,89,98,131,268,61,155,155,146,183,141,169,216,150,235,160,150,160,141,131,164,268,367,414,282,367,315,386,320,457,315,306,494,391,475,504,414,381,457,518,640,556,640,720,560,419,494,282,697,278,343,391,230,645,428,367,367,320,438,235,362,391,287,353,306,348,325,254,311,188,230,221,216,146,188,179,150,254,113,164,94,108,127,150,127,0,117,37,70
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,478,0,0,718,0,718,1197,718,1675,718,0,1197,1197,957,1197,1915,239,957,957,718,1915,1197,1915,1675,239,1915,1436,1675,957,1436,2394,1197,718,478,1915,1197,1436,478,2154,478,2394,957,1197,718,718,1675,1915,1675,1436,1436,1675,1197,718,957,957,1436,718,1436,957,0,1915,957,957,957,1675,957,718,478,1197,1436,957,1436,1915,1915,0,2633,1675,3830,1675,1197,1197,2394,1197,718,1915,1915,2633,2154,3112,1197,2394,1915,1915,4788,3591,2633,4070,2633,4070,2872,3830,2633,3351,5267,7421,5267,6464,5506,6942,4788,4788,5745,7182,3830,5506,6703,5267,4309,9097,7900,5985,7421,7661,5027,6942,9815,5985,4548,6703,6464,5985,5506,5745,6703,5267,6224
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,93,31,0,0,62,62,0,62,156,62,187,187,531,250,187,375,312,281,468,437,531,969,375,375,718,437,750,625,812,1500,1625,1406,1219,1437,1312,1938,2063,875,1688,2250,2782,3376,2282,2375,2688,1813,3126,2782,2938,2719,3126,2344,2250,3001,3501,3063,3907,4095,3907,4407,3907,3438,3876,3001,4032,2594,5408,4970,6095,3626,4095,4407,4220,4001,4157,3970,4282,4095,4345,5126,3313,5220,5157,6439,6220,0,11878,5376,6127,6283,6377,6220,6283,5751,5564,5658,5689,5470,5564,6127,5689,5845,5408,5720,5783,5658,5814,5533,5720,5626,5658,5658,5814,5689,5876,5751,5470,5876,6189,5751,6220,5908,6158,6095,121165,6220,5908,5845,6220,5908,6064,6377,6408,6127,5970,6439,6158
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,28,37,0,18,28,0,9,9,56,75,0,46,65,84,131,28,65,93,0,178,271,75,75,103,131,46,196,168,243,468,168,187,131,121,234,93,112,178,84,84,150,140,159,65,93,178,262,93,103,225,37,150,131,196,253,103,75,140,65,234,196,168,150,103,65,65,56,46,37,103,56,46,46,121,168,159,196,75,65,28,56,75,93,28,65,84,75,56,93,84,150,206,131,93,46,0,121,131,187,178,75,84,168,75,112,112,75,103,103,37,37,56,93,65,56,56,46,0,431,112,0,2128,37,103,271,159,1059,543,37,18,56,262,75,168,328,121,18,140,0,571,150,187,421,103
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,52,0,52,0,0,0,0,0,78,26,26,105,52,26,26,210,157,26,315,368,368,289,368,342,658,737,289,526,342,631,500,447,631,684,552,289,315,605,500,816,737,947,710,342,816,947,579,605,342,368,131,447,605,368,500,552,368,315,631,526,579,368,763,184,263,315,315,315,210,447,131,26,447,315,131,342,210,342,26,421,552,394,263,421,315,157,289,500,631,184,394,263,236,421,368,789,473,2685,0,0,0,0,0,0,0,52,157,500,368,394,394,131,131,105,184,368,236,289,157,78,131,315,157,289,184,157,157,78,236,157,236,105,236,184,131,157,315,394,184,131,263,26,157
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97,97,875,194,875,0,1944,1653,1555,2333,1847,2042,1944,2625,2139,3597,1944,2819,1555,3306,3403,2819,2528,3403,3306,3014,3111,3111,2917,2722,2917,2625,2042,2625,2236,3403,3306,2528,2236,2431,1944,2431,1555,1750,1555,1944,1944,1069,1458,1555,875,1166,875,875,1847,1166,875,583,1264,1458,1264,1555,1555,1361,0,2431,1361,1361,1166,1361,1264,1361,1264,1361,0,2528,1069,777,972,0,875,1069,680,486,680,97,0,1166,291,194,97,97,0,388,194,388,583,291,583,583,583,0,680,777,0,1069,0,1750,875,583,875,0,194,1264,194,777,777,0,1361,291,0,291,680,194,583,0,777,0,1069,97,194,291,0,486,777,0,291,0,97
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,154,154,256,256,308,256,410,359,1438,667,462,1232,1181,359,719,1130,1284,1027,1849,873,1232,616,1438,256,1849,667,873,873,1335,1130,1438,873,1284,1181,1695,1181,976,1592,719,1592,1489,1797,667,1232,1592,1181,873,1592,1181,1027,976,1284,1541,513,1284,1181,154,976,770,513,410,565,462,1181,410,667,410,462,976,359,513,154,462,565,462,513,410,667,308,770,462,565,719,821,873,513,719,0,1695,821,616,565,821,821,513,719,513,1181,1130,873,821,1027,1078,1181,976,924,1592,924,873,667,1232,667,873,1541,1078,976,873,1078,873,616,1849,1387,1284,1232,770,1130,976,1695,1541,1797,2003,1849,1746,976,2465
