Country,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,345,172,0,345,517,0,690,0,1898,1726,0,3106,2243,1208,0,3106,0,5695,2761,3797,3106,0,1380,5350,3279,1726,2243,0,0,4315,2416,3797,0,4315,0,1553,1553,1035,2416,1726,4142,0,690,0,2071,1553,0,2934,2589,1553,1553,1726,0,3279,0,1208,0,690,0,1035,690,1035,0,863,0,517,517,1208,0,0,345,0,345,517,0,0,517,517,345,690,0,345,690,172,0,1035,0,0,0,690,0,0,172,0,0,345,0,0,0,345,172,0,0,172,0,172,0,172,0,0,0,0,0,172,345,0,0,0,0,0,172,0,0,0,172,0,0,0,0,0,172,172,0,0,0,0,172,172,0,0,172,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,94,94,0,0,282,376,0,940,752,1035,282,846,564,282,752,846,470,376,1129,940,940,752,846,3575,376,564,1223,0,376,1599,846,846,940,1411,470,188,564,470,376,376,658,752,1129,1223,658,1223,752,752,1035,658,470,282,470,846,658,1223,188,376,564,0,658,470,188,752,188,0,188,752,564,1035,282,940,376,1223,0,94,376,470,1035,188,564,0,564,1035,658,2258,0,1223,940,1693,188,1129,752,658,658,564,1505,658,1317,564,752,658,1317,658,1035,940,1035,752,940,1599,752,1223,2070,1505,1599,564,658,1787,1129,94,3669,0,1129,564,564,94,2822,1787,752,1881,1693,2070,2164,1317,940,752,470
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,58,234,0,409,234,526,117,292,409,409,585,234,760,1346,1287,1463,1580,468,643,1697,1287,1755,1463,1053,1053,1287,819,819,1170,1053,2048,1053,1931,760,995,1346,936,0,0,5092,10184,2692,995,9540,18028,11296,292,0,2868,2107,2926,760,23998,1053,10653,409,234,14984,5502,2809,3687,2341,2868,2985,6848,2341,702,5560,0,4214,2224,1229,0,1404,0,4682,2809,0,2809,4331,760,1229,2809,1755,0,6321,2692,1287,1931,2399,2165,4682,4038,0,3921,0,2985,0,4038,3687,1053,292,4272,1463,2868,3687,3570,4038,702,2341,3043,0,1580,2282,5385,936,936,3921,1638,2868,2516,1873,1814,292,2809,3043,1229,1697,2282,468,995,3043,2282,1990,2633,1990,819,995
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,20,20,0,10,10,20,40,50,20,0,30,60,60,40,10,50,60,60,81,50,71,71,91,91,152,172,111,132,50,142,50,132,91,193,152,111,142,121,111,71,132,101,203,223,213,121,142,91,142,71,162,172,132,213,111,111,81,111,121,152,213,203,182,152,142,213,162,111,284,294,193,142,193,294,345,345,467,467,477,365,386,406,325,396,345,355,365,355,457,629,924,0,1940,853,894,802,904,883,863,883,863,843,883,894,822,843,822,822,873,822,802,640,802,680,762,538,863,680,904,782,741,599,538,690,640,518,508,477,416,406,386,406,487,467,396,375,467,314,294,314,233
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,155,0,155,0,155,155,0,155,0,0,0,0,0,0,155,0,0,0,0,0,155,0,0,0,0,0,155,0,155,0,155,155,155,155,155,0,155,155,0,155,311,0,467,311,311,467,0,155,155,155,0,311,0,155,0,467,0,778,311,0,0,467,311,311,0,0,311,467,311,0,1245,622,0,311,311,311,622,622,1090,778,1401,934,934,1090,1090,1557,1401,1868,1557,1245,1401,1713,1245,1090,934,934,934,1245,934,778,934,1090,1713,1245,1868,1713,2336,1713,1401,1245,1713,1401,1090,1713,1557,1245,1401,2024,1401,1401,1713,1245,1557,1401
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,27,9,9,36,9,9,9,0,64,45,27,45,64,73,18,27,9,18,18,64,0,18,9,0,27,27,0,73,82,0,45,0,0,0,0,0,0,0,0,155,0,36,0,36,0,100,64,18,18,119,36,27,91,73,82,27,82,128,45,100,128,91,100,91,238,238
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,362,0,362,543,181,362,362,0,725,362,181,1450,0,0,1087,1087,1450,181,0,1813,0,906,1994,0,2719,725,0,725,7796,1450,4170,906,1631,1269,0,1087,2175,1269,362,1813,0,1813,1087,1087,1450,906,0,362,1450,0,2175,1087,725,181,362,181,0,906,0,0,181,181,725,181,0,181,362,0,725,0,0,0,362,0,0,181,181,0,181,0,0,181,0,0,0,0,0,0,0,181,0,0,0,181,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,362
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,14,29,44,29,74,74,134,44,223,194,268,179,537,313,403,1328,1612,1164,1672,1702,2777,3583,3448,5449,4434,4807,4389,6255,7495,7629,20230,16751,15736,7748,12437,21156,8122,20021,14736,9495,8375,8570,11093,21470,10929,11675,9973,5897,8181,8017,7629,7704,5807,6016,3613,6524,5479,6375,4314,2747,2478,2015,4613,4971,4105,2657,3583,1194,1045,3926,5195,1239,5240,1552,1433,7256,1955,0,1642,1239,1104,642,522,970,1463,985,985,776,851,462,462,1597,0,1866,686,462,194,806,1298,343,403,418,358,134,432,1657,418,418,209,238,104,343,851,164,313,388,0,0,522,447,268,209,268,0,0,403,194,477,209,373,0,0,373,0,1358,268,209,0,0,373,0,104,149,149,0,0,253,209,223,238,164,0,0,432
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,48,12,12,48,84,84,192,60,301,229,277,205,591,578,675,1145,1218,952,1531,1616,1990,1507,2267,2002,2291,2002,3377,2798,2979,1978,1929,2231,2062,4330,4052,2786,2340,2822,1218,2448,2653,3196,1688,3558,1724,856,1724,2412,2171,2870,687,844,771,1350,1761,892,2195,506,1037,434,940,1519,542,1640,771,422,0,977,735,784,349,313,458,217,494,663,277,578,627,108,72,385,192,289,108,603,144,108,422,289,168,132,24,132,72,96,325,156,180,253,60,12,12,277,144,60,168,132,12,205,0,192,36,84,108,84,36,60,265,72,277,72,24,36,36,0,0,60,48,0,84,96,36,48,108,36,0,36,72,205,36,48,60,24,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,0,0,0,0,0,115,0,0,0,115,0,0,0,0,57,115,57,0,115,115,0,57,0,0,0,57,0,115,0,115,115,57,0,115,0,57,115,0,57,173,115,173,289,347,0,173,231,173,57,231,289,695,579,695,347,463,405,1159,869,3362,811,1275,869,1275,1565,1043,985,927,985,869,1101,811,985,1971,1797,985,927,2029,1101,1275,2840,1971,1217,1101,1565,2551,1507,2145,2319,1565,1971,1333,2840,2261,2724,1913,2724,1449,3362,2782,3130,2261,347,2087,985,1681,2435,3420,2145,1739,2029,1565,1217,3072,1855,3304,2029,2087,1043
